id,message,created_time,updated_time,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
1380,Turn your solution from the animal classification challenge (https://zcu.io/FJtl ) into an app with this blog( https://zcu.io/x47h).   It is very rewarding seeing something you have made into an app.,11/11/2019 9:00,11/11/2019 9:00,0,0,0,0,0,0,0,0,0
1381,"The objective of this challenge is to create a machine learning model to predict which individuals are most likely to default on their loans, based on their loan repayment behaviour and ecommerce transaction activity.  - https://zcu.io/bV7A  Xente",11/10/2019 16:00,11/10/2019 16:00,0,0,0,0,0,0,0,0,0
1382,Shout out to @Nasereliver who came 3rd in the Tanzania Mobile Money Challenge.   Watch him here: https://zcu.io/HiJT,11/10/2019 12:25,11/10/2019 12:25,0,5,5,0,0,0,0,0,5
1383,Q: What did one quantum physicist say when he wanted to fight another quantum physicist? A: Let me atom.   Avoid bad data jokes and join this challenge -  https://zcu.io/MtKZ,11/10/2019 9:00,11/10/2019 9:00,0,0,0,0,0,0,0,0,0
1384,This was the first Zindi Challenge to close. Traffic Jam: Predicting People's Movement into Nairobi https://zcu.io/Ebww  Enter this challenge and let us know where you rank against the winners. We would love to know if you beat them ;),11/9/2019 16:00,11/9/2019 16:00,0,6,6,0,0,0,0,0,6
1385,Xente credit scoring - A tutorial by Blenz   Link: https://zcu.io/hA4p  Thank you to Blenz for this awesome tutorial. What are your thoughts on it?,11/9/2019 12:59,11/9/2019 12:59,0,2,2,0,0,0,0,0,2
1386,Now you have no reason not to be on the leaderboard of the Uber and Sanral  challenge. This is part 1 of 3 of a full tutorial on how to get a submission on the leaderboard and how to use the Uber Movement data. Link: https://zcu.io/LfqB,11/8/2019 9:03,11/8/2019 9:03,0,5,5,0,0,0,0,0,5
1387,"StatQuest with Josh Starmer is one of the friendliest channels for new users. Simple, easy to understand and with very catchy jingles - https://zcu.io/8Ok1",11/7/2019 16:00,11/7/2019 16:00,0,2,2,0,0,0,0,0,2
1388,A quick intro to Natural Language Processing (NLP) -  https://zcu.io/ZJl1  Now you can go try our Zindi challenge on NLP - https://zcu.io/0boj,11/7/2019 9:00,11/7/2019 9:00,0,7,7,0,0,0,0,0,7
1389,Here is a quick how to on Zindi. We hope to see more of you on our leaderboards 😉 https://zcu.io/UnqT,11/6/2019 16:00,11/6/2019 16:00,0,5,5,0,0,0,0,0,5
1390,"Meet Sertac Ozker, 6th winner of the Waziup IOT  Soil Moisture Prediction Challenge - https://zcu.io/moMh",11/6/2019 16:00,11/6/2019 16:00,0,0,0,0,0,0,0,0,0
1391,Join Ambassador @Davis_McDavid in Tanzania for a hackathon for Tamasha Data 2019 in DAR on 3 December.   Find all the information and register here: https://zcu.io/0KLY  #datatamasha2019 #aihackdar19 #zindihack dLab Tanzania,11/5/2019 18:00,11/5/2019 18:00,0,3,3,0,0,0,0,0,3
1392,Only 46 people on the leaderboard this is your time to shine. Remember you get 5 points for every challenge you submit to. Link: https://zcu.io/NlCB  Xente,11/5/2019 16:00,11/5/2019 16:00,0,0,0,0,0,0,0,0,0
1393,"Meet the newly crowned top Zindian, DrFad, 1st winner of the Waziup IOT Soil Moisture Prediction Challenge - https://zcu.io/9WHt",11/5/2019 16:00,11/5/2019 16:00,0,7,7,0,0,0,0,0,7
1394,"First #ZindiHack in Senegal with Ambassador, Thierno and galsenai. Join the Sendy challenge and see if you qualify for the in-person hack on 23 November.   Thank you to ExpressoHub, Baamtusarl and DITSenegal for sponsoring this hackathon.",11/5/2019 13:59,11/5/2019 14:03,0,2,2,0,0,0,0,0,2
1395,Meet the winners of the Waziup IOT  Soil Moisture Prediction Challenge Link: https://zcu.io/Qr6J  Thank you to Microsoft for sponsoring this challenge.,11/5/2019 11:35,11/5/2019 11:35,0,4,4,0,0,0,0,0,4
1396,Join the Zindi point challenge and help Xente improve their credit scoring model.  Link: https://zcu.io/7CJo,11/5/2019 9:00,11/5/2019 9:00,0,4,4,0,0,0,0,0,4
1397,Starter notebook!  Joint this challenge and help physicists working with the Large Hadron Collider at CERN. Link: https://zcu.io/xtkD,11/5/2019 9:00,11/5/2019 9:00,0,0,0,0,0,0,0,0,0
1398,🎉Congratulations🎉 Charles Ochanda for winning the Zindi giveaway.   We hope you are learning lots at the Full Stack Deep Learning bootcamp.,11/5/2019 8:34,11/5/2019 20:50,1,8,8,0,0,0,0,0,8
1399,@Sendy LtdLess than 3 weeks to go! There are starter notebooks in R and Python. Get yourself on that leaderboard!  https://zcu.io/Hfcm   Remember you get 5 points for every competition you make a submission to.  SENDY,11/4/2019 16:00,11/4/2019 16:00,0,6,6,0,0,0,0,0,6
1400,What is your home language?  Do you know of a dataset that represents that language and needs to be shared?  AI4D-African Language Dataset Challenge https://zcu.io/wm3i,11/4/2019 16:00,11/4/2019 16:00,0,8,8,0,0,0,0,0,8
1401,Join GalsenAi at their meetup on 2 November where they go over a challenge for their hackathon they will be hosting on 23 November.   Sign up here: Hackathon https://zcu.io/s2nQ,11/4/2019 9:00,11/4/2019 9:00,0,6,6,0,0,0,0,0,6
1402,Do you have a blog you would like us to share? Email us at zindi@zindi.africa and we can feature it.   View past blogs here: https://zcu.io/LfTV,11/4/2019 9:00,11/4/2019 9:00,0,2,2,0,0,0,0,0,2
1403,Here is a blog to get you started on the Pothole Detection Knowledge Challenge: https://zcu.io/Aica  Thank you to JohnoWhitacker for being a Zindi contributer.,11/3/2019 16:00,11/3/2019 16:00,0,2,2,0,0,0,0,0,2
1404,Uber  Movement Cape Town is live. Interact with the data on their platform and use it in the Uber Movement  Sanral Cape Town Challenge: https://zcu.io/8R6lUber,11/3/2019 9:00,11/3/2019 9:00,0,5,5,0,0,0,0,0,5
1406,23 days until the end of the SENDY Logistics Challenge. Where are you on the leaderboard? Link:   https://zcu.io/GDrH  Thank you to I2ifacility  for sponsoring this challenge.,11/2/2019 16:00,11/2/2019 16:00,0,1,1,0,0,0,0,0,1
1407,,11/2/2019 9:00,11/3/2019 1:29,2,4,3,0,0,1,0,0,3
1408,A new Zindi Challenge is out. This time you need to give us the data and win $500 each month for 5 months.  This challenge is in partnership with AI4d.  Link:  https://zcu.io/Ui2o,11/1/2019 12:33,11/1/2019 12:33,0,3,3,0,0,0,0,0,3
1409,Tanzania is warming up to their 2nd hackathon with Zindi Ambassador @Davis_McDavid. Join him on 3 December in DAR for the pre-event to Tamasha Data 2019.  Find all the information and register here: https://zcu.io/0KLY  #DataTamasha2019 #aihackdar19 #zindihack dLab Tanzania,11/1/2019 12:12,11/1/2019 12:12,0,5,5,0,0,0,0,0,5
1410,Be part of an awesome Bootcamp by Full Stack Deep Learning. Use the 'Zindi' discount code and register here: https://fullstackdeeplearning.com/   Get set to deploy AI systems in the real world!,10/31/2019 19:45,10/31/2019 19:45,0,6,6,0,0,0,0,0,6
1411,6 hours to go to win a boot camp with Online full-stack Deep Learning Bootcamp  @full_stack_dl   Join experts like @pabbeel @sergeykarayev @josh_tobin_ @l2k @chipro @xamat    Enter the giveaway here: zcu.io/O9yb   Find out more here: zcu.io/uCOi,10/31/2019 6:00,10/31/2019 6:00,0,5,5,0,0,0,0,0,5
1412,Join fellow fanatics at PyKla in Kampala tomorrow evening.   Link: https://zcu.io/PSbv,10/30/2019 16:00,10/30/2019 16:00,0,1,1,0,0,0,0,0,1
1413,We were on  BBC News Africa for the SENDY hackathon in Nairobi which AI KENYA facilitated. It is so great to see Zindi growing.,10/30/2019 13:04,10/30/2019 14:53,1,6,6,0,0,0,0,0,6
1414,Win a Full Stack Deep Learning Bootcamp worth $450.  This is a live course in California that you will be part of online. It is a hands-on program for developers familiar with the basics of deep learning.  Enter here: https://zcu.io/O9yb  You can also register for the course by using the discount code Zindi and receive the course for $250.   Read more about the course here: https://zcu.io/uCOi,10/30/2019 10:00,10/30/2019 10:00,0,1,1,0,0,0,0,0,1
1415,Data Saiyans from Explore Data Science presenting their solution from the @Uber hackathon.   #UberMovementCPT #ZindiHack,10/29/2019 12:30,10/29/2019 12:31,0,10,8,2,0,0,0,0,8
1416,#UberMovementCT is live.   We are so grateful that we got to be part of this launch and that we (and Zindians) were some of the first to see and use their data.,10/29/2019 10:17,10/29/2019 10:17,0,3,3,0,0,0,0,0,3
1417,What an awesome event!  #Cape2Nairo #Datathon #Datahack4FI @iHub @AIKENYA1  @Ajua_Africa  @cenfri_org @i2ifacility @Finmarktrust @Cape_IT  @SendyMobile @data_explore @WhatsGoodStudio,10/29/2019 9:34,10/29/2019 9:34,0,2,2,0,0,0,0,0,2
1418,"Help classify animals using real images from the hundreds of camera traps in Serengeti National Park, Tanzania. Link to challenge: https://zcu.io/Jxd9  Or become a citizen scientist by helping Snapshot Serengeti classify animals by hand. Link: https://zcu.io/Jxd9",10/28/2019 16:00,10/28/2019 16:00,0,0,0,0,0,0,0,0,0
1419,Join GalsenAi at their meetup on 2 November where they go over a challenge for their hackathon they will be hosting on 23 November.   Sign up here: Hackathon https://zcu.io/s2nQ,10/28/2019 9:00,10/28/2019 9:00,0,3,3,0,0,0,0,0,3
1420,Win a Full Stack Deep Learning Bootcamp worth $450.  This is a live course in California that you will be part of online. It is a hands-on program for developers familiar with the basics of deep learning.  Enter here: https://zcu.io/O9yb  You can also register for the course by using the discount code Zindi and receive the course for $250.  Read more about the course here: https://zcu.io/uCOi,10/27/2019 19:00,10/28/2019 9:02,0,8,8,0,0,0,0,0,8
1421,The winning solutions to the Mtoto News  challenge are on Github. Read this blog to learn how the winners did it.   Link: https://zcu.io/uVwB,10/27/2019 16:00,10/27/2019 16:00,0,5,5,0,0,0,0,0,5
1422,Why don't scientists trust subatomic particles?   They just make up everything.   This challenge was designed by a data scientist working at CERN. This shows that you data science can take you anywhere.  Link:  https://zcu.io/2rD8,10/27/2019 9:00,10/27/2019 9:00,0,1,1,0,0,0,0,0,1
1423,"If you’re in Cape Town or Nairobi, don't miss out on an opportunity to win your share of $1600! It's a 2-day hackathon and we're calling on all data scientists to solve a real business problem using data science and machine learning algorithms. Make sure you use the following links to register: Nairobi - https://zcu.io/tb0s  Cape Town - https://zcu.io/WKCS   #DataHack4FI #Cape2Nairo",10/26/2019 18:00,10/26/2019 18:45,1,4,4,0,0,0,0,0,4
1424,"It was awesome to be part of the first hackathon in #Arusha #Tanzania. For some participants, this was their first Zindi challenge.   #AIHackArusha19",10/26/2019 10:30,10/26/2019 10:30,0,12,12,0,0,0,0,0,12
1425,Cape2nairo we are on.   #Cape2Nairo #Datathon #Datahack4FI @iHub @AIKENYA1 @Ajua_Africa @cenfri_org @i2ifacility @Finmarktrust @Cape_IT @SendyMobile @ZindiAfrica @data_explore @WhatsGoodStudio,10/26/2019 9:45,10/26/2019 9:45,0,7,7,0,0,0,0,0,7
