id,message,created_time,updated_time,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
15,"Thinking of mastering Python and Java? Then a Software Development course is for you.🤓  We offer a range of Software Development classes, only available at our Cape Town College!  Join us for our open day in Cape Town this Saturday on the 5th of February from 9 am to 1 pm and let the coding begin!  As a result of COVID-19 restrictions, we can only see 12 students per session. To reserve your spot, click here: https://booking.appointy.com/OptimiCollege?st=549333  or alternatively register now: https://itacademy.co.za/registration  Location: 1st Floor, Tygervalley Office Park 1 Corner of Old Oak and Durban Road, Tygervalley Cape Town, 7538  #Click.Learn.Earn  #ITAcademy #OptimiCollege #education #learning",2/1/2022 11:45,2/1/2022 14:24,0,22,21,1,0,0,0,0,21
16,,1/31/2022 9:18,2/1/2022 18:27,2,12,12,0,0,0,0,0,12
17,"IT Academy is rated Excellent on Trustpilot. What past students have to say: """"Absolutely great institute I just completed my CCNA qualification today absurdly detailed lessons. incredible student support you guys are god sent and will be returning for another IT course.  Thank you for helping me achieve my dreams you guys are the best period!"""" - Thabo""",1/27/2022 14:21,1/27/2022 14:21,0,21,21,0,0,0,0,0,21
18,"Become a Network Engineer Pro, with our IT Academy Classes!👩‍💻  Come to our Open Day on the 5th of February 2022 from 9am to 13pm and let our advisors assist you.  Due to Covid- 19 restrictions, we are only able to see 12 students per session! Please book your slot today: https://booking.appointy.com/OptimiCollege?st=549333  or Register now: https://itacademy.co.za/registration/  Location: 1st Floor, Tygervalley Office Park 1 Corner of Old Oak and Durban Road, Tygervalley Cape Town, 7538  #Click.Learn.Earn #ITAcademy #learning #education #OptimiCollege #distancelearning",1/27/2022 14:05,3/3/2022 8:47,4,48,43,4,1,0,0,0,43
19,Now that your NSC final examination results are out…you’re probably wondering: What’s next? 🤷‍♂️ Growing and Learning does not stop now!  Optimi College (a division of the Optimi Group) wants to give young adults an opportunity upskill and get into their desired field of work through College SA and IT Academy. Visit our website for more information:  https://optimi.co.za/offerings/optimi-college/college-sa/ #OptimiCollege #education #distancelearning #learning,1/21/2022 10:04,1/26/2022 8:39,2,8,8,0,0,0,0,0,8
20,"Whether you're looking to enroll in full-time or part-time courses, IT Academy offers classroom courses to suit your needs.  Classroom courses are available for the following: -Software Developer - Full Stack (NQF5) - Full Year -Software Developer (NQF5) - 6 Months -Network Engineer (NQF5) - Full Year -IT Engineer (NQF4) - 6 Months  Attend our open day on the 5th February 2022 between 9:00 am and 13:00 pm and our advisor can help you make your decision.  As a result of the Covid- 19 restrictions, we can only see 12 students per session. Please book your slot today: https://booking.appointy.com/OptimiCollege?st=549333  Location: 1st Floor, Tygervalley Office Park 1 Corner of Old Oak and Durban Road, Tygervalley Cape Town, 7538  #Click.Learn.Earn #OptimiCollege #learning #education #DistanceLearning #ITAcademy",1/31/2022 9:23,1/31/2022 9:23,0,11,11,0,0,0,0,0,11
21,"How to register for an online course at IT Academy:  Select an individual course or bundle Complete the registration form Select your payment plan Start studying today!  Enjoy access to one-on-one mentoring, virtual practice labs and practice tests. Registration now open!  https://itacademy.co.za/registration/ #ITAcademy #DistanceLearning #OptimiCollege",1/20/2022 14:58,1/24/2022 11:52,1,17,16,1,0,0,0,0,16
23,New Monday. New week. New start. New goals.  You've got this!,1/10/2022 13:10,1/20/2022 11:15,6,14,11,3,0,0,0,0,11
24,"We are back and ready to take your call, but please bear with us – we are responding to all messages as quickly as possible! For urgent assistance, please contact us on 0860 000 895.",1/3/2022 7:00,1/27/2022 10:47,7,10,10,0,0,0,0,0,10
25,"Happy New Year, South Africa! Every year is a new chapter in your life, so turn the page without any regrets. Why not start this new chapter with IT Academy?",1/1/2022 8:00,1/10/2022 10:42,3,9,9,0,0,0,0,0,9
26,"Please note that our offices will be closed from 13:00 on Friday the 17th of December 2021 and will re-open at 08:00 on Monday, the 3rd of January, 2022.  If you would like to register for an IT Academy course, please complete one of the forms on our website, by visiting www.itacademy.co.za.  Alternatively, leave a message and we will get back to you as soon as we return.  Happy holidays!",12/17/2021 8:00,1/10/2022 10:46,3,8,8,0,0,0,0,0,8
27,Let the fun begin...,12/15/2021 10:00,12/15/2021 10:00,0,8,7,1,0,0,0,0,7
28,"Kickstart your career! Register at IT Academy! NQF 4/5 Certificates, Payment Terms, Mentoring, LABS, 11000+ learners.  Visit www.itacademy.co.za | 0860 000 895 | info@it-academy.co.za.",12/13/2021 13:59,2/6/2022 22:36,4,14,12,2,0,0,0,0,12
29,"If you were unable to secure funding for your studies, visit our student finance page today. Now you can apply and qualify for study funding from a single platform and at zero cost to you.   Visit: https://itacademy.co.za/student-finance/ Alternatively, contact us on 0860 000 895",12/1/2021 15:46,1/10/2022 10:37,2,8,6,2,0,0,0,0,6
30,"Take your IT career to the next level. Get up to 20% off our online courses this Black Friday! Offer valid from 22 November until 26 November 2021. Don’t miss out!  For more information, visit https://itacademy.co.za/black-friday-deals/",11/23/2021 10:13,11/29/2021 13:38,3,12,11,1,0,0,0,0,11
31,"This CompTIA bundle course covers CompTIA A+ (Hardware, Software, Troubleshooting), CompTIA N+ (Networking), CompTIA Server+, CompTIA Security+ and CompTIA Linux+ (Open Source Operating Systems).  One-on-One Mentoring | Online | | Free Virtual Labs |  Visit our website today for more information: https://bit.ly/3maJm1X",10/26/2021 13:59,12/14/2021 10:06,17,38,31,7,0,0,0,0,31
32,Thinking about studying at IT Academy? We are rated excellent on Trustpilot! Write a review regarding your experience with us or see what others have to say about our product and services! https://www.trustpilot.com/review/it-academy.co.za,10/13/2021 10:49,11/1/2021 7:38,7,16,16,0,0,0,0,0,16
33,"Register today! LABS, Free Exam Preps, NQF 4/5, Certificate, Terms, Mentoring, 12000+ learners. Visit https://itacademy.co.za/ for more information | 0860 000 895 | info@it-academy.co.za.",10/6/2021 12:39,2/4/2022 7:51,31,158,129,28,1,0,0,0,129
34,"Interested in a career in IT? Kickstart your career with IT Academy! Register today! NQF 4/5, Certificate, Terms, Mentoring, LABS, 10 000+ learners. Visit https://itacademy.co.za/ | Contact: 0860 000 895 | Email: info@it-academy.co.za.",9/16/2021 14:22,10/18/2021 8:36,18,103,88,13,1,1,0,0,88
35,IT Academy is rated excellent on Trustpilot! Write a review regarding your experience with IT Academy or see what others have to say about us!  https://www.trustpilot.com/review/it-academy.co.za,8/2/2021 18:55,8/20/2021 12:43,3,19,16,2,0,1,0,0,16
36,"Register now for the CompTIA Advanced Security Practitioner (CASP+) CAS-004 course at R2495.00. Courses include Mentoring, Exam Preps, Mobile Access, Certificate. Registered learners may purchase discounted CompTIA Exam Vouchers directly through IT Academy. Visit www.it-academy.co.za for further information or call 0860 000 895 to speak with a consultant.",7/20/2021 11:38,1/24/2022 19:22,7,18,16,2,0,0,0,0,16
37,"Register today! LABS, Free Exam Preps, Mobile Access, NQF 4/ NQF 5, Certificate, Accredited, Terms, Student Support, 12000+ learners. Visit http://www.it-academy.co.za for further information or call 0860000895 to speak with a consultant | info@it-academy.co.za.",6/24/2021 17:04,11/19/2021 14:40,39,261,216,40,5,0,0,0,216
38,"Register for our NQF 4 & NQF 5 courses starting at R2495.00. Incl Labs, Student Support, Mobile Access, Certificate, Terms, 12000+ learners. Visit http://www.it-academy.co.za for further information | 0860 000 895 | info@it-academy.co.za.",6/4/2021 9:37,7/26/2021 9:48,22,2092,2035,57,0,0,0,0,2035
39,New Course Release:   - CompTIA CASP CAS-004 - CompTIA PenTest+ PT0-002 - CompTIA N+ N10-008 - CompTIA Security+ SY0-601 - CompTIA Cloud+ CV0-003 - CompTIA Cloud+ Essentials CLO-002  - Microsoft MS-700: Managing Microsoft Teams - AWS Associate SAA-C02  - Java Certified Foundations Associate 1Z0-811 - VMware VCP-DCV vSphere 7  Contact IT Academy on info@it-academy.co.za or 021 914 1789 / 0860 000 895 for further information.,5/25/2021 19:26,11/29/2021 13:35,2,18,18,0,0,0,0,0,18
40,"Register now for the CompTIA Cloud Essentials+ CLO-002 course or CompTIA Cloud+ CV0-003 course at R2495.00 each. Courses include Mentoring, Exam Preps, Mobile Access, Certificate. Registered learners may purchase discounted CompTIA Exam Vouchers directly through IT Academy. Visit www.it-academy.co.za for further information or call 0219141789 to speak with a consultant.",5/17/2021 16:28,11/29/2021 13:42,1,19,19,0,0,0,0,0,19
41,"Register today for the Latest AI-900 Azure Artificial Intelligence Fundamentals course. Access your On-Demand, Cloud-Based Learning on a Computer, Laptop, Tablet or Smartphone 24/7. Courses are designed in video with audio, printable and includes exam preps. Visit www.it-academy.co.za for further information or call 021 914 1789 to speak with a consultant.",5/4/2021 14:11,11/20/2021 14:26,4,10,8,2,0,0,0,0,8
42,"Register today! LABS, Free Exam Preps, Mobile Access, NQF 4/5, Certificate, Terms, Mentoring, 12000+ learners. Visit http://www.it-academy.co.za for further information or call 0219141789 to speak with a consultant | info@it-academy.co.za.",5/3/2021 11:14,7/29/2021 10:20,39,707,600,104,2,1,0,0,600
44,"Register now for the NEW AWS Associate SAA-C02 course at R2495.00. Courses include Mentoring, Exam Preps, Mobile Access, Certificate. The AWS SAA-C02 course is aligned to the International Exam. Registered learners may purchase Exam Vouchers directly through IT Academy. Visit                                      www.it-academy.co.za for further information or call 0219141789.",4/20/2021 12:03,5/7/2021 9:42,1,19,19,0,0,0,0,0,19
45,"Register today! LABS, Free Exam Preps, NQF 4/5, Certificate, Terms, Mentoring, 12000+ learners. Visit http://www.it-academy.co.za for further information | 0860 000 895 | info@it-academy.co.za.",4/16/2021 14:30,10/18/2021 8:48,43,5221,5076,135,3,7,0,0,5076
46,Follow IT Academy on Instagram for the latest updates and promotions on all our IT and Business related courses. @itacademysouthafrica,4/14/2021 17:27,4/14/2021 17:44,1,19,18,0,1,0,0,0,18
47,"Register today for the MCE: Microsoft Azure Solutions Architect course at  R6495.00. Courses include Mentoring, Exam Preps, Mobile Access, Certificate. Registered learners may purchase discounted Microsoft Exam Vouchers directly through IT Academy. Visit www.it-academy.co.za for further information or call 0219141789 to speak with a consultant.",4/14/2021 15:02,4/14/2021 15:02,0,14,12,1,1,0,0,0,12
48,"Register today for the Latest CompTIA Security+ SY0-601 course. The CompTIA Security+ course includes FREE Practice LABS, One-On-One Mentoring, Free Exam Preps, Mobile Access, Certificate. Visit www.it-academy.co.za for further information or call 0219141789 to speak with a consultant.",3/19/2021 13:07,4/14/2021 9:20,5,21,20,1,0,0,0,0,20
49,"Register today for the NEW CompTIA N+ N10-008 course. The CompTIA N+ course includes Free Practice LABS, One-On-One Mentoring, Free Exam Preps, Mobile Access, Certificate. Visit www.it-academy.co.za for further information or call 0219141789 to speak with a consultant.",3/17/2021 15:54,3/17/2021 15:59,0,24,24,0,0,0,0,0,24
50,REGISTER NOW for 2021 Classroom Training - 6 Month (IT Engineer or Software Development) or 1 Year (Network Engineer/ Software Development/ Cyber-Security Specialist) course starting 2 March 2021. Limited Seating. Contact 0860 000 895/ info@it-academy.co.za for more information.,1/8/2021 9:06,3/12/2021 18:16,106,4534,3479,1024,9,20,1,1,3479
51,"Kickstart your career! Register today! NQF 4/5, Certificate, Terms, Mentoring, LABS, 11000+ learners. Visit http://www.it-academy.co.za | 0860 000 895 | info@it-academy.co.za.",12/9/2020 11:21,4/24/2021 7:21,37,4569,4445,112,6,6,0,0,4445
52,www.it-academy.co.za,12/1/2020 10:56,4/21/2021 13:08,4,30,27,3,0,0,0,0,27
53,Don't miss out! Black Friday sale ends 5:00pm today.  www.it-academy.co.za | info@it-academy.co.za | 0860 000 895,11/27/2020 13:44,11/27/2020 21:21,1,16,16,0,0,0,0,0,16
54,BLACK FRIDAY SALE! Further 20% OFF. Starts 26-27 November 2020. Don't miss out! www.it-academy.co.za | info@it-academy.co.za | 0860 000 895. Promo Code: ITABF20. T&Cs Apply.,11/24/2020 21:50,7/3/2021 15:43,11,1032,902,124,5,0,1,0,902
55,BLACK FRIDAY SALE! Further 20% OFF. Starts 26-27 November 2020. Don't miss out! www.it-academy.co.za | info@it-academy.co.za | 0860 000 895. Promo Code: ITABF20. T&Cs Apply.,11/24/2020 15:27,11/24/2020 18:39,3,73,71,2,0,0,0,0,71
56,BLACK FRIDAY SALE! Further 20% OFF. Starts 26-27 November 2020. Don't miss out! www.it-academy.co.za | info@it-academy.co.za | 0860 000 895. Promo Code: ITABF20. T&Cs Apply.,11/24/2020 13:54,11/24/2020 17:34,1,22,18,1,3,0,0,0,18
57,BLACK FRIDAY SALE - 26 Nov-27 Nov 2020. Don’t miss out! T&Cs apply. Call 0860000895 or email info@it-academy.co.za for further information!,11/24/2020 13:30,11/24/2020 16:19,1,8,8,0,0,0,0,0,8
58,Don't miss out! Black Friday sale starts 26 November 2020 - 27 November 2020. Save 20%. Email info@it-academy.co.za or call 0860000895 for further information.,11/24/2020 13:04,11/24/2020 13:42,1,10,10,0,0,0,0,0,10
59,Register today for the neutal-vendor Certified Associate in Project Management course which is aligned to the CAPM international exam  Course Duration: 40 hours Level: Beginner Pre-requisites: None  Price: R2 495.00                                         www.it-academy.co.za,11/10/2020 18:19,11/24/2020 17:25,1,15,15,0,0,0,0,0,15
60,,10/30/2020 11:40,10/30/2020 11:40,0,15,13,2,0,0,0,0,13
61,"Kickstart your career! Register today! NQF 4/5, Certificate, Terms, Mentoring, LABS, 11000+ learners. Visit http://www.it-academy.co.za | 0860 000 895 | info@it-academy.co.za.",10/29/2020 14:29,11/27/2020 9:00,100,5808,5635,161,6,5,0,1,5635
62,Visit www.it-academy.co.za,10/29/2020 14:24,7/21/2021 16:05,1,13,12,1,0,0,0,0,12
63,"Our CompTIA A+ Accredited IT Technician course covers Hardware, Software Installation & Troubleshooting of PCs/laptops.  Course Duration: 40 hours Level: Beginner (NQF 4)  Pre-requisites: None  Price: R2 495.00 (e-Learning)  Register at www.it-academy.co.za. Call 0219141789 to speak with a consultant. Start today!",10/27/2020 17:46,9/10/2021 10:51,6,29,25,4,0,0,0,0,25
65,"Register today for our Full Stack Developer e-Learning (Online) course. Includes - Front and Back-end Development, MTA Fundamentals, HTML5, CSS3, JavaScript, jQuery, JsRender, Python, AngularJS, NodeJS, NoSQL, MySQL, Express & MongoDB  Course Duration: 180 hours Level: Beginner (NQF 5) Pre-requisites: None     Price: R10 995.00  Visit www.itacademy.co.za for more information.",10/27/2020 13:30,2/12/2021 15:54,1,11,10,1,0,0,0,0,10
66,NEW COURSE RELEASE. CompTIA Security+ SY0-601 e-Learning course at R2495.00. Visit www.it-academy for more information. Register and start anytime!,10/26/2020 18:42,10/26/2020 18:42,0,14,13,1,0,0,0,0,13
67,Be the first to hear about our upcoming promotions! Sign up to receive our monthly newsletter. Leave your email address below (or email info@it-academy.co.za) and we'll be sure to include you.,10/26/2020 18:20,11/12/2020 16:54,13,78,76,2,0,0,0,0,76
68,"Register today for the System Development NQF level 5 course starting from R6995.00. Visit www.it-academy.co.za for further information. Alternatively, call 0219141789 to speak with a consultant.",10/26/2020 18:17,10/27/2020 14:15,1,10,10,0,0,0,0,0,10
69,"Register today for the DevOps Engineer Expert e-Learning (Online) course.   DevOps is the Collaboration between the Development and Operations Team. Our Microsoft accredited course covers the Fundamentals, Administration & DevOps  Course Duration: 60 hours Level: Intermediate Pre-requisites: Familiar with IT Software Development & Operations responsibilities  Price: R4 495.00",10/22/2020 14:46,10/22/2020 14:46,0,6,6,0,0,0,0,0,6
70,"Become a Cyber Security Specialist, obtain 5 x international certificates, incl. CompTIA Security+, CompTIA CSA+, CompTIA CASP, CEH or PenTest+ & CISA  Course Duration: 100 hours Level: Intermediate Pre-requisites: CompTIA + & ComPTIA N+ certificates or experience  Price: R6 995.00",10/22/2020 14:44,10/26/2020 10:15,1,11,11,0,0,0,0,0,11
71,"Get internationally recognized. Register for the IT Engineer course which includes  CompTIA A+, CompTIA N+, CompTIA Server+, CompTIA Security+ & CCNA  Course Duration: 180 hours Level: Beginner Pre-requisites: None  Price: R5 995.00",10/22/2020 14:35,10/22/2020 14:35,0,12,12,0,0,0,0,0,12
72,"We've just released the DevOps Engineer Expert e-Learning (Online) course at R4 495.00. Visit https://itacademy.co.za/course/azure-devops-engineer/ for more information. Alternatively, call 0860 000 895 to speak with a consultant.",10/20/2020 13:31,10/20/2020 13:31,0,7,7,0,0,0,0,0,7
73,Register today for the A+ N+ CCNA e-Learning (Online) Bundle at R4 495.00. Visit https://itacademy.co.za/course/comptia-a-comptia-n-ccna/ for more information. Start anytime!,10/19/2020 17:16,10/19/2020 17:20,0,20,18,2,0,0,0,0,18
74,IT Academy's new website has gone live! Visit www.itacademy.co.za. Registration is now open! Kickstart your career today.,10/19/2020 17:08,10/19/2020 17:10,0,11,10,1,0,0,0,0,10
75,IT Academy is rated Excellent on Trustpilot.,6/3/2020 11:45,10/26/2020 10:16,3,22,18,4,0,0,0,0,18
76,,6/1/2020 14:53,10/27/2020 15:29,9,19,17,2,0,0,0,0,17
77,Kickstart your career! Study during Lockdown. Register today! http://www.it-academy.co.za | 0860000895 | info@it-academy.co.za,5/29/2020 12:00,10/30/2020 14:49,109,15285,13664,1566,17,34,3,1,13664
78,"REGISTER TODAY, START ANYTIME! Kickstart your career! Visit https://itacademy.co.za or call 0860 000 895 to speak with an expert.",5/18/2020 16:12,5/29/2020 12:07,1,15,15,0,0,0,0,0,15
79,REGISTER FOR ANY ONLINE COURSE DURING LOCKDOWN! Start TODAY!  CompTIA A+ 2019 - R2495.00 A+ N+ CCNA - R4495.00 MCSA Server 2016 - R4495.00 IT Engineer - R5995.00 Web Designer - R5995.00 Software Developer (Programmer) - R6995.00  Don't miss out! Email info@it-academy.co.za for more information.   www.it-academy.co.za,5/11/2020 13:40,7/9/2020 20:15,5,20,20,0,0,0,0,0,20
80,REGISTER DURING LOCKDOWN! Start TODAY! www.it-academy.co.za / info@it-academy.co.za / 0860 000 895.,5/11/2020 13:32,5/11/2020 13:32,0,16,15,1,0,0,0,0,15
81,https://www.zdnet.com/article/microsoft-extends-retirement-of-key-certifications-by-seven-months-to-january-2021/,4/14/2020 10:18,4/14/2020 10:18,0,14,14,0,0,0,0,0,14
82,,3/25/2020 17:39,3/25/2020 17:39,0,20,19,1,0,0,0,0,19
83,Study Online courses during lockdown! ENROL TODAY. www.it-academy.co.za / 0860 000 895.,3/25/2020 17:27,9/11/2020 21:08,69,11710,10831,798,17,60,0,4,10831
84,REGISTER TODAY - STUDY ONLINE! www.it-academy.co.za,3/20/2020 16:50,10/22/2020 14:28,10,96,92,4,0,0,0,0,92
86,COMPTIA SECURITY+ SY0-501 CLASSROOM TRAINING.  23 March 2020 - 27 March 2020 Tyger Valley Campus (Cape Town)  R4 995.00 ex VAT.   Call: 0219141789 / Email: info@it-academy.co.za for more information. *Limited Seating,3/13/2020 15:25,3/14/2020 14:54,1,654,592,62,0,0,0,0,592
87,NEW COURSE RELEASES 2020:   - CCNA 200-301 (NEW) - Azure Security AZ-500 - MCA: Azure Administrator  - MCA: Azure Developer  - MCA: Azure Security Engineer   - Microsoft 365: Modern Desktop Administrator  - Microsoft Certified: Azure Solutions Architect Expert  - Microsoft Certified: Azure DevOps Architect Expert             - Microsoft 365 Certified: Enterprise Administrator Expert  Call 0219141789 or email info@it-academy.co.za for more information.   www.it-academy.co.za,3/2/2020 16:06,10/23/2020 6:08,8,25,25,0,0,0,0,0,25
88,2 SEATS REMAINING! Don't miss out!  REGISTER TODAY for 6 month / 12 month Software Development (Full Stack developer) Classroom Training courses commencing 10 February 2020 at our Tyger Valley Campus (Cape Town).  Call 0219141789 / info@it-academy.co.za for more information.,1/23/2020 11:16,2/8/2020 13:26,3,15,14,1,0,0,0,0,14
89,REGISTER TODAY for 6 month / 12 month Software Development (Full Stack developer) Classroom Training courses commencing 10 February 2020 at our Tyger Valley Campus (Cape Town).  LIMITED SEATING! Call 0219141789 / info@it-academy.co.za for more information.   http://www.it-academy.co.za/classroom-courses.asp,1/15/2020 8:41,10/27/2020 15:10,22,839,811,22,2,4,0,0,811
90,2020 REGISTRATION IS OPEN! Kickstart your career today. Over 3000 IT & Business courses. Click here to enrol - http://www.it-academy.co.za/enrol.asp.  Call 0860 000 895 to speak with a consultant.,1/9/2020 13:39,1/13/2020 10:02,1,12,12,0,0,0,0,0,12
91,2020 REGISTRATION IS OPEN! Kickstart your career today. Over 3000 IT & Business courses. Click here to enrol - http://www.it-academy.co.za/enrol.asp.  Call 0860 000 895 to speak with a consultant.,1/9/2020 13:36,2/4/2020 12:07,3,9,9,0,0,0,0,0,9
92,REGISTER TODAY for 6 month IT Engineer / 12 month Network Engineer or 6 month / 12 month Software Development (Full Stack developer) Classroom Training courses commencing 10 February 2020 at our Tyger Valley Campus (Cape Town). LIMITED SEATING.  Contact a consultant on 0860 000 895 / info@it-academy.co.za for more information.  http://www.it-academy.co.za/classroom-courses.asp,12/11/2019 15:30,1/30/2020 18:54,4,16,14,2,0,0,0,0,14
93,,11/30/2019 21:20,12/9/2019 12:51,3,29,28,0,0,0,0,1,28
94,Black Friday Offer valid until 5:00pm today. Don't miss out!,11/29/2019 7:14,1/11/2020 5:38,1,11,11,0,0,0,0,0,11
95,REGISTER NOW and receive 20% off ALL e-Learning courses. Don't miss out. Offer expires tomorrow (29 November) at 5:00pm. www.it-academy.co.za,11/28/2019 13:15,11/28/2019 13:15,0,11,11,0,0,0,0,0,11
96,17 hours to go until our BLACK FRIDAY specials kick off! 20% off ALL e-Learning (Online) courses. Register here - http://www.it-academy.co.za/enrol.asp  SAVE SAVE SAVE!,11/27/2019 14:58,11/27/2019 14:58,0,13,13,0,0,0,0,0,13
97,DON’T MISS OUT! BLACK FRIDAY SPECIAL! 20% off ALL e-Learning (Online) courses.  Starts: 28 November 2019 to 29 November 2019 (8am - 5pm) - 2 days ONLY.  Kickstart your career and SAVE TODAY!,11/25/2019 16:27,11/25/2019 16:27,0,23,20,2,0,1,0,0,20
98,DON’T MISS OUT! BLACK FRIDAY SPECIAL! 20% off ALL e-Learning (Online) courses.  Starts: 28 November 2019 to 29 November 2019 (8am - 5pm) - 2 days ONLY.  Kickstart your career and SAVE TODAY! Promo Code: ITABF19. Visit www.it-academy.co.za for more information.,11/25/2019 10:38,11/25/2019 10:39,0,11,9,2,0,0,0,0,9
99,DON’T MISS OUT! BLACK FRIDAY SPECIAL! 20% off ALL e-Learning (Online) courses. Starts: 28 November 2019 to 29 November 2019 (8am - 5pm) - 2 days ONLY. Kickstart your career and SAVE TODAY!,11/22/2019 16:18,11/25/2019 8:24,2,14,13,1,0,0,0,0,13
