Company,Date Posted,Media Type,Post Text,Post Likes,Post Comments,Video Views,Media Links,Followers
Udacity,2 months ago,Image,"That feeling when hard work pays off 💪. Udacity has been named a leader in the IDC #MarketspaceITTrainingAssessment. It's no secret that given the global digital talent shortage, the survival of enterprises depends on radical talent transformation. The question is: When selecting a partner in digital talent transformation, will you choose a follower or a leader? https://bit.ly/3I11OTk",130,1comment,1 comment,https://media-exp1.licdn.com/dms/image/C5622AQGlKsf3C1w4pQ/feedshare-shrink_800/0/1645126339577?e=2147483647&v=beta&t=HmsuCGRvZIrYPByUGA4ynCHhBhgTJnLbEhlbmpe-aTo,"339,780 followers"
Udacity,3 weeks ago,Image,"Do you want to build #programming and #webdevelopment skills FOR FREE, so you can get a well-paying job? We are partnering with Citi to provide scholarships at no cost. Apply now: https://bit.ly/3qZ3sOZ",61,6comment,18 shares,https://media-exp1.licdn.com/dms/image/C4D22AQH9lSupKVkxEA/feedshare-shrink_800/0/1647976931925?e=2147483647&v=beta&t=zYrSClW1FgP2SkEivaKfkOPvNk_EGQcRmS8_Rfd6ZDc,"339,780 followers"
Udacity,1 month ago,Image,We're teaming up with Microsoft to offer scholarships to underrepresented groups in tech and help them begin their careers in the industry. Apply today: https://bit.ly/3ibjiRB,90,2comment,2 comments,https://media-exp1.licdn.com/dms/image/C5622AQGUMe04eIVJzA/feedshare-shrink_800/0/1647713821630?e=2147483647&v=beta&t=jzd5x8tr2Jt6hutK4jEuU9Vk_DYy0TRngJVTDDsg6G0,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc",Check out Telenor's ROI from investing in employee learning with Udacity:- Over $9M in savings attributed to the boost in workflow efficiency- 700+ #upskilled employees with specialized data science skills- 40% boost in efficiency of existing #machinelearning projectshttps://lnkd.in/gC-KdSnF,69,2comment,2 comments,None,"339,780 followers"
Udacity,2 months ago,Image,"Developing the skills of employees is a key priority for enterprises to keep up with digital transformation. 74% of employers say they have a responsibility to invest in their employees’ future and 70% of employees value building skills that can be used on the job and for critical projects right away. Join our upcoming webinar with Telenor, and explore what it takes to build and scale a corporate-wide talent transformation strategy. https://bit.ly/3uyGd0y",27,1comment,1 comment,https://media-exp1.licdn.com/dms/image/C5622AQEzNZLepnVBcw/feedshare-shrink_800/0/1645200963153?e=2147483647&v=beta&t=PDT6USWYKnO0dc8hiljwQWomYGnWSoSGiAl-kPsuYGI,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc",We are wishing everyone happy holidays!,284,9comment,1 share,None,"339,780 followers"
Udacity,2 months ago,Image,"A proud moment for us. Today we are announcing our partnership with Udacity 🚀 Together we will support tech-forward companies with job-ready skills in the domains of Data-Driven Business including areas such as AI, Data Science and Machine Learning, as well as Cybersecurity and Programming skills. If this is what you need, we suggest you send a message to Claes Dahlstrand 📩#datadriven #cybersafety #cybersecurity #ai #artificialintelligence #engineering #programming #machinelearning #datascience",56,1comment,1 comment,https://media-exp1.licdn.com/dms/image/C4E22AQFTD48CtAes6Q/feedshare-shrink_800/0/1644419139251?e=2147483647&v=beta&t=hd8_5is2TUIp2p1n6gI53B5Qupy8vsv-cWhelZJQpUs,"339,780 followers"
Udacity,3 weeks ago,Article,How to Start a Digital Marketing Career in 3 Steps:1. Choose the right digital marketing profession2. Take an online digital marketing course that focuses on the field that most interests you. 3. Seek out a digital marketing internshipLearn more: https://bit.ly/3N5J489,19,0,N/A,https://bit.ly/3N5J489,"339,780 followers"
Udacity,2 months ago,Image,"Our report with market leader Ipsos finds that revamping enterprise learning and development strategy is the only way to stop digital talent gaps from destroying businesses, especially now during the global digital talent shortage. Learn more: https://bit.ly/3fYOGS0",47,2comment,2 comments,https://media-exp1.licdn.com/dms/image/C5622AQFn4FnN8WGq-w/feedshare-shrink_800/0/1643112962070?e=2147483647&v=beta&t=xbzdXxNgNW7heZ2p1W6d3RfITiqRp7yefNawtygPkEo,"339,780 followers"
Udacity,2 months ago,Image,"#Proud to be a partner of OneTen in their mission to empower ONE MILLION Black individuals with job-ready skills in the next 10 years. Together, we are creating opportunities to earn success and ignite Black potential for generations to come.",20,0,N/A,https://media-exp1.licdn.com/dms/image/C4E22AQFTFk9pGp5IaA/feedshare-shrink_800/0/1644933978354?e=2147483647&v=beta&t=y-RmDtJ-YmPEAkITbK1bjzea8Le-a1qhWotKvh0_4Ik,"339,780 followers"
Udacity,1 month ago,"Other: Poll, Shared Post, etc","As more companies use #MachineLearning, teams confront the challenges of deploying a live service model. Join us for a conversation with Paul Wyatt, Senior Machine Learning Engineer at #VirtaHealth, whose mission is to reverse diabetes in patients: https://apple.co/3sKlvsd",24,0,1 share,None,"339,780 followers"
Udacity,1 month ago,Image,We're teaming up with Standard Chartered Bank to offer 100 scholarships to STEM students and tech professionals from Bangalore and Chennai. Apply now: https://bit.ly/3HOoMw9,70,0,10 shares,https://media-exp1.licdn.com/dms/image/C5622AQGJMFEgnaqY7g/feedshare-shrink_2048_1536/0/1647550267233?e=2147483647&v=beta&t=QsoSpoT9zMZTdOApuOQbfxfBr6VICb72HDQKR2g0zls,"339,780 followers"
Udacity,2 weeks ago,Article,"Potential solutions to the global shortage of talent in tech? Recruitment, retention, corporate culture… its covered here by Gilles Bertaux: https://bit.ly/36OAHxp",16,0,N/A,https://bit.ly/36OAHxp,"339,780 followers"
Udacity,3 weeks ago,Article,3 Ways To #Breakthebias In The Workplace:1. Awareness Makes The Difference2. Unconscious Bias And The Bottom Line3. Breaking the Bias for Future SuccessLearn more: https://bit.ly/3LeQKmO,25,0,2 shares,https://bit.ly/3LeQKmO,"339,780 followers"
Udacity,3 months ago,Image,"Do you want to learn #coding or #predictiveanalytics skills? Want to jumpstart a career in the #neweconomy? Know a young person seeking purpose and direction?It’s not too late to apply to #Accenture’s scholarship through #Udacity! If you don’t have a four-year degree, this is a great opportunity to gain the hottest tech skills, 1:1 mentorship, and eligibility to apply to Accenture’s apprenticeship program. Embrace change and start a new chapter in your career. Apply by January 17th! https://bit.ly/3JzB1hYPallavi VermaComment, Like and Share!",134,13comment,13 comments,https://media-exp1.licdn.com/dms/image/C4E22AQEsFibGb2QwTA/feedshare-shrink_800/0/1641594451590?e=2147483647&v=beta&t=6QdKoXW_ypR2RGmMQ8f-FZevVrSde_IlnkGINzgGdw0,"339,780 followers"
Udacity,1 month ago,Article,Developing the skills of employees is a key priority for enterprises to keep up with digital transformation. 74% of employers say they have a responsibility to invest in their employees’ future and 70% of employees value building skills that can be used on the job and for critical projects right away. Check out our webinar with Telenor and explore what it takes to build and scale a corporate-wide talent transformation strategy: https://bit.ly/3CUZTxY,26,0,N/A,https://www.udacity.com/enterprise/webinar/telenor-talent-transformation-playbook,"339,780 followers"
Udacity,7 months ago,"Other: Poll, Shared Post, etc","“As a Udacity mentor you become a friend, a cheerleader, and a confidant of your students as they go through their courses.” Read lindsaymoir.com's inspiring story about his experience as a Udacity mentor!https://bit.ly/3ySOevZ",61,0,2 shares,None,"339,780 followers"
Udacity,3 months ago,Image,"Bridging The Tech Skills Gap: Udacity CEO Gabriel DalportoGabriel Dalporto is the CEO of Udacity, the market leader in digital talent transformation. Udacity works with the world’s leading companies to teach labor forces critical tech skills through its powerful and flexible digital education platform.Gabe was previously at the helm of LendingTree having led one of the biggest and most successful turnaround and growth stories of a public company in the past decade. He earned graduate and undergraduate degrees in Nuclear Engineering from MIT and the University of Florida, respectively.Listen on iTunes: https://lnkd.in/gWFXtS4XListen on Google: https://lnkd.in/gTpwy3yhSign up for GrowthCap’s email newsletter https://lnkd.in/gXXniHP#leadership #software #saas #artificialintelligence #elearninghttps://lnkd.in/g26JXBA2",10,0,N/A,https://media-exp1.licdn.com/dms/image/C5622AQFG6LrolcZozg/feedshare-shrink_800/0/1640705780346?e=2147483647&v=beta&t=_QBlDXzS5Xv6Q31JFIb52gzVgVzrwrozG79wpiIGTIk,"339,780 followers"
Udacity,2 months ago,Image,"It was an absolute delight to talk about self-driving cars in a recent Shell Eco-marathon webinar with Norman, Saptarshi, Melle and Priscila , a topic I'm extremely passionate about. The last two decades have witnessed unprecedented development in the mobility sector, with the autonomous vehicle (AV) at the pinnacle of it. These developments ensure that AVs are crucial for energy transition. Hence, as part of Pitch the Future 2022, a new Shell Eco-marathon competition aimed at STEM students we introduce: Cognitive Boost for Autonomous Vehicles - A #ShellAI Challenge. Autonomous vehicles are classified based on their capability to navigate ranging from Level 1: Driver Assistance; to Level 5: Complete Autonomation; but is the navigation capability enough to replace the human driver? In partnership with Udacity we invited the participating #ShellEcoMarathon students to flex their STEM skills with this new world challenge and pitch their ideas in response to the question: “How can the human factor be replaced by artificial intelligence (AI) to create a seamless autonomous vehicle (AV) experience?”Catch the webinar recording and Q&A aimed at participating Shell Eco-marathon teams on our website for more information around this fascinating challenge.  https://lnkd.in/dWdRYxUJ #PoweringProgress Dean Dan Pinar Hayley Leanne Bin Gilles Natalie Zhi-Ying Hariharasudhan Deepa Claire Suchismita Karina James Jens Tulin Vidyasagar P Ajith Kaushic Nikhil Laksha Sharanya Tanvi Thanooj",10,0,N/A,https://media-exp1.licdn.com/dms/image/C4D22AQFWPuG0VPI_TQ/feedshare-shrink_800/0/1645107254597?e=2147483647&v=beta&t=mCSlTqb1nSMHhhQCi0BdZpWcKMzACz8AvJ3fSJPUjks,"339,780 followers"
Udacity,8 months ago,"Other: Poll, Shared Post, etc",Learn how to download payment receipts with this quick video tutorial from our support community!https://bit.ly/3ymK0w1,9,0,N/A,None,"339,780 followers"
Udacity,3 months ago,"Other: Poll, Shared Post, etc","People, not technology, are at the heart of successful digital transformation. If talent development, as opposed to to talent acquisition, is not the primary focus of digital transformation for enterprises, they are risking a failed attempt, which could be detrimental.",108,2comment,9 shares,None,"339,780 followers"
Udacity,3 months ago,"Other: Poll, Shared Post, etc","""Unequivocally, there is no doubt that the right answer is to retrain your talent and keep them inside the company, rather than hire new talent. No matter what your philosophy is you're going to come up with that same answer."" #UdacityAheadOfNextPodcasthttps://apple.co/3mDPXlk",41,1comment,1 comment,None,"339,780 followers"
Udacity,1 month ago,Image,We're teaming up with the #Vodacom Lesotho Foundation to offer 50 scholarships to learners in #Lesotho to break into the tech industry and build sustainable careers. Apply now: https://bit.ly/3Ja5ClS,95,11comment,11 comments,https://media-exp1.licdn.com/dms/image/C5622AQE2ydKhGbyCRA/feedshare-shrink_800/0/1647031501869?e=2147483647&v=beta&t=wxX9pFfY5GzzyMsJt1i5HJKRlWNUFTTLia-yJGlenTw,"339,780 followers"
Udacity,2 months ago,Article,"If you want to develop tech skills and build a tech career, then #Udacity has a scholarship for you! We offer scholarships to underrepresented groups, as well as emerging professionals. Read on to learn more about why it’s a great deal: https://bit.ly/3HQvcLR",64,0,5 shares,https://bit.ly/3HQvcLR,"339,780 followers"
Udacity,1 month ago,Article,1. Provide Training For Your Employees2. Coaching and Mentoring is Another Option 3. Offer on the Job Learning Learn more: https://bit.ly/3tZtbHk,64,1comment,2 shares,https://bit.ly/3tZtbHk,"339,780 followers"
Udacity,4 months ago,Image,"LinkedIn: One of the most frustrating parts of looking for entry level jobs is the requirement to have 2-3 years experience in a related role, especially when you come from a non-traditional background.  The expectation that you have to start with experience can be extremely discouraging. A solution? Get the tech skills you need to get a high paying job, for free. Udacity is teaming up with OneTen and Blacks in Technology to offer a scholarship for individuals without a 4 year degree. The program is part-time and online. Apply here: https://bit.ly/309KACwWhat do you think? #JWoW #Wonsulting #Udacity",760,8comment,8 comments,https://media-exp1.licdn.com/dms/image/C5622AQGhGj72O5QTLg/feedshare-shrink_2048_1536/0/1638981428521?e=2147483647&v=beta&t=U5IMzRhySpLq5CS6Rr2mkqzaual4rsz533e1jaCTjns,"339,780 followers"
Udacity,3 months ago,"Other: Poll, Shared Post, etc",Coby White teamed up with Udacity to help get more opportunities to people without a four-year degree. Watch his interview with former Udacity student Charlene and learn how you can apply for their latest scholarship at udacity.com/scholarships and learn tech skills for free.,41,1comment,1 comment,None,"339,780 followers"
Udacity,3 months ago,"Other: Poll, Shared Post, etc","""There is something powerful about bringing together a team of heterogeneous backgrounds by design."" Phil Kim, of Capital One Growth Ventures, talks about how company culture is its secret to remaining a part of the digital vanguard in Financial Services.https://apple.co/3q2F1zH",20,0,1 share,None,"339,780 followers"
Udacity,1 month ago,Article,"Today’s talent drought is real, and innovation is at risk. Check-a-box L&D programs aren’t cutting it when it comes to overcoming the workforce shortages and hiring challenges that negatively affect your bottom line: https://bit.ly/3I11OTk",20,1comment,2 shares,https://bit.ly/3I11OTk,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc","Digital transformation is not about tech, its about talent. The technology we have available is amazing but there is a global shortage of qualified people to fill the talent demand. Thus, the key to success lies in enterprise's ability to train and skill their workforces.",81,1comment,1 comment,None,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc",“This Udacity #Nanodegree allowed me to understand what #datascience is. It broke it down in such a way that allowed me to start coding on my own.”Data Scientist André Lamont on how his #Udacity experience allowed him to accomplish his dream job. #missionmondays,67,0,2 shares,None,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc",The Site Reliability Engineer (SRE) Nanodegree program will focus on both designing systems to automate response to issues with software sites as well as how to respond to common on-call situations. Learn more: https://bit.ly/3e0g7dd,35,0,2 shares,None,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc",Effective learning has evolved to adopt a students-first model. It does this by matching the learning styles and needs of students in their specific work environments at their natural pace. #studentsfirst,43,0,N/A,None,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc","After losing his job to the COVID-19 pandemic, Chiazam Ochiegbu completed a Nanodegree and became a #DataAnalyst. He says that data makes him ""feel like Superman"" and that he is extremely proud of himself. Stories like this are why we do what we do! #missionmondays",92,6comment,3 shares,None,"339,780 followers"
Udacity,1 month ago,Article,What is Upskilling? #Upskilling is a process by which individuals enhance their skills and make themselves more employable. Individuals need to #upskill to stay competitive in today’s labor market: https://bit.ly/3KQYHy8,70,0,1 share,https://bit.ly/3KQYHy8,"339,780 followers"
Udacity,1 month ago,Article,"With 1.7 open positions for each of the 6.5 million active job seekers who were counted as unemployed in January of 2022, there are more job openings in the U.S. than ever before. In other words, there are not nearly enough qualified tech workers to fill current and future talent demands. It's time to consider internal digital talent transformation as an alternative to hiring: https://on.wsj.com/364yi0O",19,0,2 shares,https://on.wsj.com/364yi0O,"339,780 followers"
Udacity,1 month ago,Image,We're teaming up with Standard Chartered Bank to offer 100 scholarships to STEM students and tech professionals from Bangalore and Chennai. Apply now: https://bit.ly/3HOoMw9,0,9comment,11 shares,https://media-exp1.licdn.com/dms/image/C5622AQG00nSw90Bg4w/feedshare-shrink_800/0/1646280004449?e=2147483647&v=beta&t=3f3fiDbG63pzj7jRdqJ4vlUIsbgZpuzt9fYXAWNf60k,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc","To better understand the concepts from her #DataAnalytics Nanodegree program, Pilar Vasquez applied them to her own projects in addition to what she was learning in class. A great tactic for those looking to go the extra mile and build their resume faster! #missionmondays",29,1comment,1 comment,None,"339,780 followers"
Udacity,2 months ago,Article,"It’s important to understand the consequences for businesses that do not invest in learning and development (L&D) for their workers. To do this, Udacity partnered with Ipsos to gather and analyze data about #talenttransformation around the world: https://bit.ly/3LyOFDh",31,1comment,2 shares,https://bit.ly/3LyOFDh,"339,780 followers"
Udacity,1 month ago,Image,"This deep dive into the current state of the global workforce sheds light on how organizations are being forced to evolve in an increasingly tech-dependent economy. We surveyed 2,000+ managers and 4,000+ employees across the U.S., U.K., France, and Germany. In the report, we share the urgency of talent transformation initiatives in today’s challenging business environment, where eliminating digital talent gaps is critical to business survival: https://bit.ly/33U7EHf",19,1comment,1 comment,https://media-exp1.licdn.com/dms/image/C5622AQGLU1SpRRUMgg/feedshare-shrink_800/0/1647028142367?e=2147483647&v=beta&t=8_4SZcQcPgr8wOn4JWT0eyEr4lY_4lhf20NR5KISxwM,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc","""This Udacity Nanodegree allowed me to understand what #datascience is. It broke it down in such a way that allowed me to start coding on my own.""Data Scientist André Lamont on how his #Udacity experience allowed him to accomplish his dream job. #missionmondays",90,3comment,3 shares,None,"339,780 followers"
Udacity,5 months ago,Image,"A playbook for business leaders: This playbook presents nine strategic plays, each accompanied by a set of actions that businesses can take within their own organizations and in partnership with others.We have oriented these plays around three design principles that have emerged as key to a future of work in which all can thrive. Verizon Xynteo #futureofwork",2,0,N/A,https://media-exp1.licdn.com/dms/image/C4E22AQFGJbINqvProw/feedshare-shrink_800/0/1637154843781?e=2147483647&v=beta&t=kkSvr0aWdHUbkGBuIlNTKBp9j6GqCZhnHvQ3Vfy-_3s,"339,780 followers"
Udacity,1 month ago,Image,"Today we celebrate Udacity's Chief Customer Officer, Jennifer Dearman, for the well-deserved achievement of making Netomi's top 25 list of innovative CX leaders. Jennifer embodies our ""students first"" core value every day. Check out the entire list: https://bit.ly/36HarED",144,17comment,17 comments,https://media-exp1.licdn.com/dms/image/C5622AQHu1lfVZ-4NlA/feedshare-shrink_800/0/1646326275699?e=2147483647&v=beta&t=Xd791pz5rYnRhu9omsVtGEISGlnANaLUzBQryBwFlnE,"339,780 followers"
Udacity,1 month ago,Article,"""If companies do not invest in talent transformation, they are destined to fail. The lack of job-ready digital talent has become an existential threat to businesses around the world."" - Udacity CEO Gabriel Dalporto for Forbes https://bit.ly/3HJyxLN",28,0,3 shares,https://www.forbes.com/sites/jackkelly/2022/03/02/the-lack-of-digital-tech-talent-is-an-existential-threat-to-business-growth-and-innovation/?sh=3d0de31c7628,"339,780 followers"
Udacity,1 month ago,Article,IDC MarketScape confirms what our clients already know. See why innovation depends on partnering with a Leader in the @IDC #MarketScape: https://bit.ly/3I11OTk,14,0,N/A,https://bit.ly/3I11OTk,"339,780 followers"
Udacity,4 months ago,Image,"As business leaders, we must actively break down barriers and open up new pathways of opportunity within the workforce. That’s why OneTen’s work to close the opportunity gap for Black talent in America is so critical. The strides made this past year across the OneTen coalition members, including General Motors, to create equitable change is just the beginning. Read more about what’s next: https://bit.ly/3EIxzyE",23,0,N/A,https://media-exp1.licdn.com/dms/image/C5622AQFZABiKGNkd2Q/feedshare-shrink_800/0/1639675941905?e=2147483647&v=beta&t=D5LEdA83mdKqclTecLP3cvtSiiiFJA3Fefdw2kehP4E,"339,780 followers"
Udacity,1 month ago,Image,Investing in developing your own talent so they possess digital skills necessary to allow you to compete in today's digitally transformed world is the only way enterprises can ensure continued success. Learn more: https://bit.ly/33U7EHf,25,0,N/A,https://media-exp1.licdn.com/dms/image/C5622AQG0uyR5Zk_cHg/feedshare-shrink_800/0/1646075821751?e=2147483647&v=beta&t=88wZxdnEBat8lwA8B0jlr0PUvX8xEUote8B7T-xYB_Y,"339,780 followers"
Udacity,5 months ago,"Other: Poll, Shared Post, etc","Since being incarcerated, rapper Divine has empowered himself and others by completing a Udacity Nanodegree in Digital Marketing and founding #Blak, his first startup focused on empowering the underprivileged to build wealth through technology and education. #missionmondays",69,1comment,5 shares,None,"339,780 followers"
Udacity,1 month ago,Article,"Black workers make up only 6% of the technology workforce in Milwaukee. We want to change this, which is why we are proud to partner with The Blacks In Technology Foundation and Northwestern Mutual to fund Nanodegree scholarships for Milwaukee residents: https://bit.ly/3JoT89K",29,1comment,1 comment,https://bit.ly/3JoT89K,"339,780 followers"
Udacity,1 month ago,Image,Why was Udacity named a Leader in the IDC MarketScape Report? Find out why along with best practices for buyers seeking the best solution to execute on critical digital talent transformation. https://bit.ly/3I11OTk,16,0,1 share,https://media-exp1.licdn.com/dms/image/C5622AQGjxh-i0BiLYA/feedshare-shrink_800/0/1646941886830?e=2147483647&v=beta&t=OHuyPBiLYMBNxgw2xnnLcXyCRPjo1D7_OXttN4Qig9Q,"339,780 followers"
Udacity,1 month ago,Image,"Our very own Brian Finnerty recently joined Mike Pastore on the B2B Nation Podcast to share what the essential skills are for today's B2B marketers. Tune in to hear his insight on the most ""underrated"" marketing skill. #B2BNation #B2B #Marketing #Podcast #community #advice #tech #leadership #growth #storytelling #market #journey Listen today! Available everywhere you get your podcasts. https://bit.ly/3BMZw83TechnologyAdvice Demand Gen Insights",21,0,3 shares,https://media-exp1.licdn.com/dms/image/C5622AQFkd_OA0FkFwg/feedshare-shrink_800/0/1646068082902?e=2147483647&v=beta&t=YInmQlneNjPQYBOHjpWR9tvoGn1lNO-no4oLoP5siqU,"339,780 followers"
Udacity,4 months ago,"Other: Poll, Shared Post, etc","We’ve been busy making your #Nanodegree Program experience more seamless and smooth, which is why we’re excited to announce that Udacity Support now has a community!Click the link for real-time support, best practices, tips, tricks, and insights to help you throughout your #Nanodegree program. If you have a question — simply tag us and reply on a thread. We’ll be available to answer all of your questions and give you the kind of support you deserve as students of Udacity! https://bit.ly/31d51ip",81,0,1 share,None,"339,780 followers"
Udacity,5 months ago,"Other: Poll, Shared Post, etc","""Knowing that it's for you."" #LaurenKnausenberger, CIO of the @usairforce, on an important key to not just opening doors of opportunity for people, but to getting them to actually walk through.#STEMForwardWithWomen Virtual Conference - 11/30. Sign up: https://bit.ly/3D1egjf",29,0,3 shares,None,"339,780 followers"
Udacity,1 month ago,Image,We're teaming up with Microsoft to offer scholarships to underrepresented groups in tech and help them begin their careers in the industry. Apply today: https://bit.ly/3ibjiRB,381,38comment,83 shares,https://media-exp1.licdn.com/dms/image/C5622AQFF15Hl7Dzstw/feedshare-shrink_800/0/1647359523461?e=2147483647&v=beta&t=Dq0faXXqcGvRG1RpMP7qllY89VfyIDNobnetu-s1s_c,"339,780 followers"
Udacity,1 month ago,Image,Partner with a recognized Leader in the IDC MarketScape that can give your business the ROI and edge it needs to stay ahead in the critical race toward digital transformation.https://bit.ly/3I11OTk,34,0,1 share,https://media-exp1.licdn.com/dms/image/C4D22AQHieJhKG5qjPw/feedshare-shrink_800/0/1646152842520?e=2147483647&v=beta&t=GCgc7hpesltJpKvDjxbFQdE8h_fvxPrJxoikwyMtuGM,"339,780 followers"
Udacity,5 months ago,"Other: Poll, Shared Post, etc","""Consistency is key."" Watch Chris Vasquez's story about how he used Udacity Nanodegree programs to show his manager he was worth more and level up his career. #missionmondays",88,2comment,1 share,None,"339,780 followers"
