our_competitors,Date_Posted,Media_Type,Post_Caption,Likes_Counts,Comments_Counts,Shared_Counts,total_followers
EXPLORE Data Science Academy,2021-11-25 18:11:16.549970,Article,"If only there were one place you could search and find open source projects on GitHub?Good news, there is!All you have to do is search for a field of interest, and you will immediately be linked to a variety of projects, from Pandas to Streamlit and beyond. Awesome Open Source - https://lnkd.in/fytBkBY#github #projects #opensource #learning",20,0,0,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,Image,"Our courses are designed to make our students job-ready!  Within a period of 6 - 12 months, our full-time and part-time students will learn some of the most valuable and up-to-date tech skills. https://lnkd.in/dfKWZc3#datascience #dataengineering #cloudcomputing #sql #machinelearning #problemsolving #visualisation #python","54

                Malibongwe Shange and 53 others",0,0,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,Image,"Welcome to all the students who enrolled for our January 2022 intake. Enjoy the journey with us!Over the next few months, we will be posting weekly sneak peeks of what our students are learning. Don't forget to check in on these. https://lnkd.in/dcQA-Bu#datascience #dataengineering #elearning #newskills","72

                Viwe Mqaqa and 71 others",3,0,"6,909"
EXPLORE Data Science Academy,2021-08-25 18:11:16.549970,Youtube Video,"We're excited to be launching our EXPLORE Accelerator today - which will help us find and train the future's best data scientists and then get them global, high-paying remote tech jobs.https://lnkd.in/gnMx3nNK",37,11,5 ,"6,909"
EXPLORE Data Science Academy,2021-10-25 18:11:16.549970,Article,"As elections are a hot topic this week, let's make it part of your data science journey. This article provides a step by step approach on how you can visualise election data by using Python. https://lnkd.in/eT75bGZv#datascience #python #elections #visualisation",38,0,0,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,Image,One week to go until our part-time 2022 courses start! Data Science: https://lnkd.in/ePFRsMgRData Engineering: https://lnkd.in/dcQA-Bu#datascience #dataengineering #elearning #bigdata #machinelearning,"92

                Palesa Kheswa and 91 others",6,12,"6,909"
EXPLORE Data Science Academy,2022-01-25 18:11:16.549970,Image,"Mathematics, statistics and programming are the fundamental skills of data science, but what are the practical skills? This article outlines the practical skills vital to being a good data scientist. https://lnkd.in/gTnytNixIt is excellent to know that the rest of the world agrees with us, as these skills are taught in our flagship data science course which is starting soon. You still have time to enrol!https://lnkd.in/ex_XHiEP#datascience #machinelearning #learninganddevelopment",76,4,9 ,"6,909"
EXPLORE Data Science Academy,2021-09-25 18:11:16.549970,Article,"Jupyter Notebooks are one of the most popular notebook tools for data scientists. Although Python is the most common language to use, Jupyter supports over 40 different programming languages. Have a look at how you can use Anaconda Navigator to set up an R environment to be used in a Jupyter Notebook - https://lnkd.in/dBrWcB5y#jupyternotebook #datascience #anaconda #rlanguage",30,0,0,"6,909"
EXPLORE Data Science Academy,2021-09-25 18:11:16.549970,Article,"Data scientists use notebooks to explore and analyse data.  The use of notebooks is spreading, and even Netflix is using it in their business units. Have a look at this article if you want to become familiar with the different data science notebooks currently available: https://lnkd.in/dKXC_p4k#datascience #notebooks",30,0,0,"6,909"
EXPLORE Data Science Academy,2021-07-25 18:11:16.549970,Article,"Machine learning pipelines are vital to automating the machine learning workflow, from data collection to deploying the model into production. There are numerous machine learning orchestration tools. This article introduces some of the best tools to use for MlOps pipeline orchestration. https://lnkd.in/dyNGfEqe#machinelearning #datascience #mlops",11,0,0,"6,909"
EXPLORE Data Science Academy,2021-08-25 18:11:16.549970,Article,"See how we're innovating to help find then fund the brightest data science talent and help them find global, $-based tech jobs.https://lnkd.in/e3Nu_NtU #isa #datascience",12,1,0,"6,909"
EXPLORE Data Science Academy,2021-08-25 18:11:16.549970,Article,"If you ever wanted a machine learning crash course in one article, then this is the one to bookmark: https://lnkd.in/g8VKRBj9#machinelearning #datascience",17,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Youtube Video,During the month of May we have posted quite a few resources related to Neural Networks. Today we would like to share a piece of content we have created in-house on Training the Neural Network. Please have a look at the following video and let us know what you think. https://lnkd.in/duiEQTR#deeplearning #neuralnetworks #datascience,9,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Youtube Video,Are you ready to dive into Neural Networks after our post earlier this week of the Neural Network glossary?Have a look at this video by 3Blue1Brown on what Neural Network is: https://lnkd.in/dhH5nra#deeplearning #neuralnetworks #learndatascience,11,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Article,The news is spreading all over Africa. Read about our expansion into Nigeria in this article posted by CAJ News (Zimbabwe).https://lnkd.in/dcEntfG#africa #nigeria #datascience #technews,27,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Article,Often we can find learning a new field daunting due to the multitude of new terminologies we need to familiarise ourselves with.  Having a glossary or dictionary close by with all the terms can make it a lot less daunting.Have a look at this Neural Network dictionary and keep it close by for the day you want to dive into Deep Learning.https://lnkd.in/dNxSdCP#machinelearning #deeplearning #learningaid #datascience,13,1,1 ,"6,909"
EXPLORE Data Science Academy,2021-11-25 18:11:16.549970,Image,Advent of Code is the perfect way to improve your coding and problem-solving skills over December with two challenges per day. What is Advent of Code? `Advent of Code is an Advent calendar of small programming puzzles for a variety of skill sets and skill levels that can be solved in any programming language you like.`https://lnkd.in/eU3VYJBu#adventofcode #programming #challenges #learningeveryday #coding,16,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Article,You can listen to the part on Explore Data Science Academy here for those who missed the broadcast on Friday evening.   https://lnkd.in/dpWdYNb (Part I),8,1,0,"6,909"
EXPLORE Data Science Academy,2021-07-25 18:11:16.549970,Image,"There is so much to learn with data science, and it is a continuous process that can often be overwhelming. This article contains 21 tips for your data science journey and projects. https://lnkd.in/dS7yyzv",25,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Image,"There are numerous data science resources available, but sometimes it takes a bit of time to find the best ones. Dataquest.io has compiled a list of resources recommended by the community. The resources include courses, competitions, blogs and career guidance.https://lnkd.in/g9ePXt9#datascience #education",13,3,1 ,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Image,"We often use the ROC curve and AUC as an evaluation metric for a classification problem, but what do these values actually mean when calculating it?This blog clearly explains the ROC curve, followed by the area under the curve, the AUC.https://lnkd.in/d3-KSnE#machinelearning #datascience",25,2,2 ,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Image,"This website (https://lnkd.in/ebJR93x), by Afshine Amidi and Shervine Amidi, provides cheat sheets on the various branches of machine learning in an easily understandable format. Go and have a look, especially the one on tips and tricks. This image is referenced from there. #machinelearning #cheatsheets #tipsandtricks",28,2,1 ,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Image,"If you are new to machine learning, this is an amazing article to read. It outlines different machine learning algorithms and explains when or where to use each model.https://lnkd.in/dRqcYNiImage credit to the author of the article referenced.#machinelearning #datascience",8,0,0,"6,909"
EXPLORE Data Science Academy,2022-04-25 17:41:16.549970,Image,"Explore Data Science Academy will be part of the broadcast this coming Friday, 30 April, at 21h30 on eNCA.#datascience #machinelearning #broadcast",22,1,1 ,"6,909"
